calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle La Joaquina;La Joaquina;La;Joaquina;2;Female;
Calle Piedades;Piedades;Piedades;;2;Female;
Calle Angélica;Angélica;Angélica;;2;Female;
Calle Higinia;Higinia;Higinia;;2;Female;
Calle Rosalinda;Rosalinda;Rosalinda;;2;Female;
Calle La Claudia;La Claudia;La;Claudia;2;Female;
Calle La Trinidad;La Trinidad;La;Trinidad;2;Female;
La matilde;La matilde;La;matilde;2;Female;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Venus;Venus;Venus;;2;Female;https://es.wikipedia.org/wiki/Venus_(mitolog%C3%ADa)
Calle La Virgen;La Virgen;La;Virgen;2;Female;https://es.wikipedia.org/wiki/Isabel_de_Hungr%C3%ADa_la_virgen
Avenida La Aurora;La Aurora;La;Aurora;2;Female;
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores;Tranquilino;Sáenz;2;Male;
Calle Don Ricardo;Don Ricardo;Don;Ricardo;-2;Male;
Calle San José;San José;San;José;-2;Male;
Puente Rincón de Ricardo;Puente  Ricardo;Puente;;-2;Male;
Calle San Martín;San Martín;San;Martín;-2;Male;
Calle Ignacio Bolaños;Ignacio Bolaños;Ignacio;Bolaños;-2;Male;
Avenida Jesús Jiménez;Jesús Jiménez;Jesús;Jiménez;-2;Male;
Calle Pedro León;Pedro León;Pedro;León;-2;Male;
Calle Don Pedro;Don Pedro;Don;Pedro;-2;Male;
Calle Alfonso;Alfonso;Alfonso;;-2;Male;
Calle Cristo Rey;Cristo Rey;Cristo;Rey;-2;Male;
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;
Puente San Miguel;San Miguel;San;Miguel;-2;Male;
Calle Joaquín Arias;Joaquín Arias;Joaquín;Arias;-2;Male;
Puente Francisco J. Orlich;Francisco J. Orlich;Francisco;J.;-2;Male;
Calle San Roque;San Roque;San;Roque;-2;Male;
Calle Urbanización Benjamin;Urbanización Benjamin;Urbanización;Benjamin;-2;Male;
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;
Calle José Muñoz;José Muñoz;José;Muñoz;-2;Male;
Calle Wilson Víquez;Wilson Víquez;Wilson;Víquez;-2;Male;
Hacienda San Agustín;San Agustín;San;Agustín;-2;Male;
Avenida Cristobal;Cristobal;Cristobal;;-2;Male;
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;
Calle Rub�n Dar��o;Rubén Darío;Rubén;Darío;-2;Male;
Avenida Luis R. Flores;Luis R. Flores;Luis;R.;-2;Male;
Calle Omar Dengo Guerrero;Omar Dengo Guerrero;Omar;Dengo;-2;Male;
Calle Manuel Benavides R.;Manuel Benavides R.;Manuel;Benavides;-2;Male;
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña;Pedro;Henríquez;-2;Male;
